"Date","Price","Open","High","Low","Change %"
"Jun 21, 2023","7.154","7.154","7.154","7.154","0.07%"
"Jun 20, 2023","7.149","7.149","7.149","7.149","0.11%"
"Jun 19, 2023","7.141","7.141","7.141","7.141","0.04%"
"Jun 16, 2023","7.138","7.138","7.138","7.138","0.42%"
"Jun 15, 2023","7.108","7.108","7.108","7.108","0.18%"
"Jun 14, 2023","7.095","7.095","7.095","7.095","0.13%"
"Jun 13, 2023","7.086","7.086","7.086","7.086","-0.37%"
"Jun 12, 2023","7.112","7.112","7.112","7.112","-0.13%"
"Jun 09, 2023","7.121","7.121","7.121","7.121","0.06%"
"Jun 08, 2023","7.117","7.117","7.117","7.117","0.20%"
"Jun 07, 2023","7.103","7.103","7.103","7.103","-0.04%"
"Jun 06, 2023","7.106","7.080","7.106","7.080","0.11%"
"Jun 05, 2023","7.098","7.098","7.098","7.098","0.25%"
"Jun 02, 2023","7.080","7.080","7.080","7.080","-0.17%"
"Jun 01, 2023","7.092","7.092","7.092","7.092","-0.08%"
"May 31, 2023","7.098","7.098","7.098","7.098","-0.06%"
"May 30, 2023","7.102","7.102","7.102","7.102","-0.08%"
"May 29, 2023","7.108","7.108","7.108","7.108","0.15%"
"May 26, 2023","7.097","7.112","7.112","7.089","-0.06%"
"May 25, 2023","7.101","7.096","7.101","7.090","-0.06%"
"May 24, 2023","7.105","7.128","7.128","7.090","-0.11%"
"May 23, 2023","7.113","7.113","7.113","7.113","0.17%"
"May 22, 2023","7.101","7.101","7.101","7.101","-0.11%"
"May 19, 2023","7.109","7.109","7.109","7.109","0.13%"
"May 18, 2023","7.100","7.100","7.100","7.100","0.10%"
"May 17, 2023","7.093","7.093","7.093","7.093","-0.21%"
"May 16, 2023","7.108","7.108","7.108","7.108","-0.20%"
"May 15, 2023","7.122","7.122","7.122","7.122","-0.21%"
"May 12, 2023","7.137","7.137","7.137","7.137","-0.32%"
"May 11, 2023","7.160","7.177","7.177","7.160","-0.07%"
"May 10, 2023","7.165","7.165","7.165","7.165","-0.04%"
"May 09, 2023","7.168","7.180","7.180","7.168","0.00%"
"May 08, 2023","7.168","7.168","7.168","7.168","0.28%"
"May 04, 2023","7.148","7.163","7.163","7.148","-0.11%"
"May 03, 2023","7.156","7.193","7.193","7.149","-0.79%"
"May 02, 2023","7.213","7.273","7.273","7.213","-0.07%"
"Apr 28, 2023","7.218","7.218","7.218","7.218","0.07%"
"Apr 27, 2023","7.213","7.213","7.213","7.213","0.19%"
"Apr 26, 2023","7.199","7.259","7.259","7.199","-0.43%"
"Apr 25, 2023","7.230","7.271","7.271","7.230","-1.32%"
"Apr 24, 2023","7.327","7.327","7.327","7.327","-0.72%"
"Apr 21, 2023","7.380","7.331","7.380","7.331","0.67%"
"Apr 20, 2023","7.331","7.331","7.331","7.331","0.05%"
"Apr 19, 2023","7.327","7.327","7.327","7.327","0.01%"
"Apr 18, 2023","7.326","7.326","7.326","7.326","-0.11%"
"Apr 17, 2023","7.334","7.334","7.334","7.334","0.15%"
"Apr 13, 2023","7.323","7.323","7.323","7.323","0.10%"
"Apr 12, 2023","7.316","7.316","7.316","7.316","0.15%"
"Apr 11, 2023","7.305","7.305","7.305","7.305","-0.23%"
"Apr 10, 2023","7.322","7.322","7.322","7.322","0.74%"
"Apr 06, 2023","7.268","7.268","7.268","7.268","-0.30%"
"Apr 05, 2023","7.290","7.290","7.290","7.290","-0.78%"
"Apr 03, 2023","7.347","7.347","7.347","7.347","-0.03%"
"Mar 31, 2023","7.349","7.349","7.349","7.349","0.10%"
"Mar 29, 2023","7.342","7.342","7.342","7.342","-0.57%"
"Mar 28, 2023","7.384","7.384","7.384","7.384","0.12%"
"Mar 27, 2023","7.375","7.375","7.375","7.375","-0.31%"
"Mar 24, 2023","7.398","7.398","7.398","7.398","-0.15%"
"Mar 23, 2023","7.409","7.409","7.409","7.409","-0.15%"
"Mar 21, 2023","7.420","7.420","7.420","7.420","0.42%"
"Mar 20, 2023","7.389","7.389","7.389","7.389","-0.28%"
"Mar 17, 2023","7.410","7.410","7.410","7.410","0.03%"
"Mar 16, 2023","7.408","7.408","7.408","7.408","-0.07%"
"Mar 15, 2023","7.413","7.413","7.413","7.413","0.04%"
"Mar 14, 2023","7.410","7.410","7.410","7.410","-0.23%"
"Mar 13, 2023","7.427","7.427","7.427","7.427","-0.66%"
"Mar 10, 2023","7.476","7.476","7.476","7.476","-0.12%"
"Mar 09, 2023","7.485","7.485","7.485","7.485","-0.03%"
"Mar 08, 2023","7.487","7.487","7.487","7.487","0.40%"
"Mar 06, 2023","7.457","7.457","7.457","7.457","0.11%"
"Mar 03, 2023","7.449","7.449","7.449","7.449","-0.04%"
"Mar 02, 2023","7.452","7.452","7.452","7.452","0.01%"
"Mar 01, 2023","7.451","7.451","7.451","7.451","-0.15%"
"Feb 28, 2023","7.462","7.462","7.462","7.462","0.11%"
"Feb 27, 2023","7.454","7.454","7.454","7.454","0.07%"
"Feb 24, 2023","7.449","7.449","7.449","7.449","0.00%"
"Feb 23, 2023","7.449","7.449","7.449","7.449","0.01%"
"Feb 22, 2023","7.448","7.448","7.448","7.448","0.30%"
"Feb 21, 2023","7.426","7.426","7.426","7.426","0.16%"
"Feb 20, 2023","7.414","7.414","7.414","7.414","-0.19%"
"Feb 17, 2023","7.428","7.428","7.428","7.428","-0.01%"
"Feb 16, 2023","7.429","7.429","7.429","7.429","-0.07%"
"Feb 15, 2023","7.434","7.434","7.434","7.434","-0.19%"
"Feb 14, 2023","7.448","7.448","7.448","7.448","-0.05%"
"Feb 13, 2023","7.452","7.452","7.452","7.452","0.08%"
"Feb 10, 2023","7.446","7.446","7.446","7.446","0.26%"
"Feb 09, 2023","7.427","7.427","7.427","7.427","0.20%"
"Feb 08, 2023","7.412","7.412","7.412","7.412","0.41%"
"Feb 07, 2023","7.382","7.382","7.382","7.382","-0.12%"
"Feb 06, 2023","7.391","7.391","7.391","7.391","0.34%"
"Feb 03, 2023","7.366","7.366","7.366","7.366","-0.28%"
"Feb 02, 2023","7.387","7.387","7.387","7.387","-0.07%"
"Feb 01, 2023","7.392","7.392","7.392","7.392","-0.81%"
"Jan 31, 2023","7.452","7.452","7.452","7.452","-0.23%"
"Jan 30, 2023","7.469","7.469","7.469","7.469","0.00%"
"Jan 27, 2023","7.469","7.469","7.469","7.469","0.62%"
"Jan 25, 2023","7.423","7.423","7.423","7.423","0.09%"
"Jan 24, 2023","7.416","7.416","7.416","7.416","0.05%"
"Jan 23, 2023","7.412","7.412","7.412","7.412","0.04%"
"Jan 20, 2023","7.409","7.409","7.409","7.409","0.31%"
"Jan 19, 2023","7.386","7.386","7.386","7.386","0.00%"
"Jan 18, 2023","7.386","7.386","7.386","7.386","-0.08%"
"Jan 17, 2023","7.392","7.392","7.392","7.392","0.04%"
"Jan 16, 2023","7.389","7.389","7.389","7.389","0.29%"
"Jan 13, 2023","7.368","7.368","7.368","7.368","0.04%"
"Jan 12, 2023","7.365","7.365","7.365","7.365","-0.11%"
"Jan 11, 2023","7.373","7.373","7.373","7.373","-0.23%"
"Jan 10, 2023","7.390","7.390","7.390","7.390","-0.24%"
"Jan 09, 2023","7.408","7.408","7.408","7.408","-0.58%"
"Jan 06, 2023","7.451","7.451","7.451","7.451","0.39%"
"Jan 05, 2023","7.422","7.422","7.422","7.422","0.27%"
"Jan 04, 2023","7.402","7.402","7.402","7.402","-0.05%"
"Jan 03, 2023","7.406","7.406","7.406","7.406","-0.43%"
"Jan 02, 2023","7.438","7.438","7.438","7.438","-0.96%"
"Dec 30, 2022","7.510","7.510","7.510","7.510","0.13%"
"Dec 29, 2022","7.500","7.500","7.500","7.500","-0.15%"
"Dec 28, 2022","7.511","7.511","7.511","7.511","-0.07%"
"Dec 27, 2022","7.516","7.516","7.516","7.516","0.00%"
"Dec 26, 2022","7.516","7.516","7.516","7.516","0.03%"
"Dec 23, 2022","7.514","7.514","7.514","7.514","0.15%"
"Dec 22, 2022","7.503","7.503","7.503","7.503","0.19%"
"Dec 21, 2022","7.489","7.489","7.489","7.489","0.03%"
"Dec 20, 2022","7.487","7.487","7.487","7.487","-0.03%"
"Dec 19, 2022","7.489","7.489","7.489","7.489","0.28%"
"Dec 16, 2022","7.468","7.468","7.468","7.468","0.28%"
"Dec 15, 2022","7.447","7.447","7.447","7.447","0.49%"
"Dec 14, 2022","7.411","7.411","7.411","7.411","-0.48%"
"Dec 13, 2022","7.447","7.447","7.447","7.447","-0.48%"
